2_gram,count
口罩,52030
紙巾,49981
牙膏,40901
濕紙,33358
防曬,30397
面膜,28274
益生,27901
衛生,25857
生菌,25478
維他,23781
他命,23757
生巾,23547
牙刷,22549
沐浴,21666
奶粉,20652
高露,18948
洗頭,18739
露潔,17675
頭水,17353
護理,17036
浴露,15889
牙線,15733
必理,15328
洗髮,15237
滴露,14662
洗衣,14606
精華,14479
理痛,14382
幸福,14241
嬰兒,13967
屈臣,13920
臣氏,13430
噴霧,13213
染髮,13073
美素,12884
護墊,12198
防脫,12188
楓之,12095
舒適,11685
手液,11647
唇膏,11582
之寶,11478
止汗,11455
樂而,11217
脫髮,11115
兒童,10709
曼秀,10535
卸妝,10479
口水,10471
而雅,10424
蟲草,9969
藥水,9932
蛋白,9848
適達,9670
秀雷,9661
美白,9463
傷風,9416
雷敦,9378
護髮,9231
漱口,9219
棉花,9202
洗面,9041
日本,9029
保濕,9026
舒特,9025
特膚,8493
肌研,8484
素佳,8422
魚油,8220
花棒,8021
洗手,8010
化妝,7865
安睡,7737
酒精,7608
潤唇,7583
睡褲,7403
道益,7394
高潔,7329
感冒,7319
潔面,7088
佳兒,7055
眼藥,7003
護舒,6887
男士,6887
潔絲,6816
個人,6799
人護,6774
暗瘡,6700
維特,6652
舒寶,6561
念慈,6539
電動,6512
雞精,6413
敏感,6333
潤膚,6180
動牙,6144
橙樹,6016
加營,5991
施巴,5912
檢測,5823
特健,5770
眼霜,5754
膠布,5754
測試,5638
營素,5548
福傷,5515
止痛,5488
眼鏡,5461
套裝,5458
消毒,5394
隱形,5374
毫升,5350
京都,5310
髮水,5296
面霜,5254
化痰,5212
形眼,5178
內褲,5128
膠原,4942
旅行,4932
健靈,4921
頭髮,4907
士林,4896
成人,4895
液體,4860
健康,4857
德林,4824
配方,4808
雀巢,4806
小林,4772
血糖,4753
多芬,4709
慈菴,4697
透亮,4696
凡士,4695
髮素,4650
拉拉,4650
寶寶,4635
廁紙,4587
樂敦,4584
黃道,4518
保健,4475
用品,4460
濕疹,4435
都念,4427
妝棉,4408
膚透,4396
雅培,4361
品及,4349
妮維,4305
維雅,4294
司各,4230
能恩,4221
食品,4205
指甲,4195
女士,4168
驅蚊,4148
拉褲,4130
尿片,4129
善存,4126
產品,4119
力康,4108
巴斯,4095
清潔,4078
滴雞,4077
修護,4070
身體,4070
撒隆,4061
補充,4025
護膚,4006
葡萄,3957
線棒,3931
衣珠,3924
髮露,3924
刷頭,3921
潔手,3913
美肌,3907
隆巴,3899
喉糖,3864
濕巾,3833
潔牙,3831
靈芝,3807
特強,3804
乳液,3763
防晒,3763
位元,3750
營養,3744
潘婷,3741
喜療,3725
幼兒,3714
各脫,3690
救心,3686
流感,3657
黄道,3619
元堂,3619
粉底,3616
李施,3613
泡泡,3607
花王,3602
喇叭,3591
水機,3580
倍力,3523
學習,3514
古力,3483
搓手,3467
止咳,3460
酵素,3451
朱古,3451
維多,3437
感肌,3434
衣液,3429
血壓,3418
洗发,3397
手霜,3394
固力,3379
習褲,3373
清爽,3371
眼膜,3347
天然,3330
原蛋,3309
除疤,3285
控油,3275
花油,3261
皇家,3222
正露,3211
生素,3192
施德,3176
活絡,3171
蘆薈,3160
雙飛,3151
卓營,3146
白粉,3102
風素,3096
飛人,3091
面巾,3089
磨砂,3083
消炎,3075
咖啡,3045
痰素,3041
萄糖,3040
關節,3033
維固,3017
風感,3009
余仁,3000
家品,2994
醫藥,2988
卡倫,2969
泡沫,2963
添寧,2963
潔膚,2960
仁生,2954
威露,2948
褪黑,2944
露丸,2922
面紙,2921
絡油,2919
維生,2916
私密,2913
兒濕,2910
茶樹,2861
嬰幼,2842
大王,2840
健肝,2830
金莎,2829
口腔,2825
爽膚,2814
安怡,2804
睫毛,2802
白牙,2799
快測,2799
露得,2797
手紙,2792
剃鬚,2782
五十,2781
百味,2772
抹手,2765
衞生,2765
無比,2763
薄荷,2750
製藥,2744
營方,2741
惠氏,2740
同仁,2735
膚水,2724
髮劑,2719
清熱,2717
體衛,2713
鹽水,2694
七海,2693
得清,2693
飲食,2677
及飲,2672
牛黃,2669
便利,2645
人工,2639
发水,2623
糖胺,2597
枇杷,2593
抗敏,2592
紙尿,2586
思詩,2584
黑頭,2577
黑人,2572
露士,2567
母嬰,2562
寶百,2558
詩樂,2554
妝水,2543
仁堂,2542
髮膜,2534
啫喱,2527
遮瑕,2520
牙縫,2511
草大,2509
家美,2494
油丸,2484
叭牌,2476
藥膏,2475
防水,2475
