searchkeyword,count
	 GATSBY 白泥碳酸潔面泡,1
	 clorox 潔廁劑原味,1
	 劇,1
	 喇叭牌 正露丸 100粒,1
	 歐萊雅,1
	 蘭州歸脾丸,1
	 香港嶺南萬應筋健貼【科研榮譽出品】3片包,1
	菲滋寶咀嚼片,1
	阿葵亞瞬效水光髪膜,1
"
益生菌",4
"
蟲草",6
  口罩,1
  尿酸,2
  放大  舒特膚溫和潔膚露1000毫升,1
  日本命力,1
  蟲草大王,1
 27卷,1
 AXE 抗菌除O翕洗衣液1公升,1
 B5修復強韌套裝,1
 BB油,1
 CALIFORNIA BABY  baby cream;babycream;嬰兒潤膚;嬰兒護膚;嬰兒潤膚乳霜;婴儿润肤乳霜;潤膚露;润肤露;修護膏;修护膏 California Baby Calendula Cream ,1
 Cetaphil舒特膚潤膚膏,1
 Dettol滴露 Miffy酒精搓手液,1
 Fluimucil 橙樹,1
 JM透明質酸絲滑白蠶絲面膜,2
 Kotex高潔絲,1
 Kotex高潔絲Spa粉櫻花超薄日用,1
 L'OREAL PARIS 昇華修護美髮油 植物精粹,1
 L'Oreal Paris巴黎歐萊雅金致臻顏 花蜜奢養眼霜,1
 La Roche-Posay每日高效提亮防曬霜 SPF50+ PA++++ (粉色) 30毫升,1
 MEDIHEAL  Ｎ． Ｍ． Ｆ高效特强保湿面膜 ,1
 NATURALS BY WATSONS NATURALS BY WATSONS純水柔濕巾 80S,1
 NIVEA妮維雅,1
 PHYSIOGEL PHYSIOGEL 抗敏保濕面膜8片裝送贈品,1
 Senka專科膠原彈潤洗顏泡泡 ,1
 WATSONS純水柔濕巾 ,1
 avene 卸妝水,1
 何濟公,1
 倍力康tm2千卡高能量營養品 125毫升 x4支雲呢拿,1
 倍速定,1
 內絡必安60 粒裝孖裝,1
 前列健 (增強版),1
 去腫藥膏,1
 口罩,3
 史激它 防蚊貼12 片裝,1
 同仁堂銀翹解毒片,1
 唇疹消透明口者喱膏,1
 喇叭牌正,1
 喜寶  HiPP喜寶HMP有機嬰兒奶粉1號  (800克) ,1
 堅韌三折式抹手紙,1
 威露士9x,1
 學習褲,1
 安宮牛黃丸,1
 小林製藥,1
 屈臣氏 濕巾,1
 床蝨,9
 必理痛特強傷風感冒丸32粒,1
 必裡痛,1
 拉拉褲中碼,1
 楓之寶,1
 樂而雅 樂而雅零感特薄特長日用25cm,1
 每日高效隔離乳,1
 氣立適,1
 水感舒緩維他命b5原液30ml,1
 沐浴露,1
 油,1
 海倫仙度丝洗頭水,1
 清熱解毒,1
 滴露,1
 滴露經典松木抗菌沐浴露,1
 潘婷pro-v高濃保濕髮膜,1
 潤唇膏,1
 潤手,1
 濕巾,1
 濕疹皮益生菌,1
 濕紙巾,1
 特強幸福傷風咳,1
 痘痘貼,1
 白兔,1
 益生菌,1
 眼膜,1
 眼霜,1
 粟米鬚茶 40包裝,1
 精華,1
 絲悅EX染髮霜,1
 維固力,1
 美白,1
 能恩,2
 能恩 全護,6
 自家品牌  EAR WAX 耳垢清理器  EAR  Ear Wax Cleaner  屈臣氏  EAR WAX CLEANER1  WATSONS  耳垢 ,1
 蘆薈淋浴露,1
 蘭州歸脾丸,1
 蛋白粉,2
 蜆殼胃散60克,6
 護膝套,1
 迷迭香,1
 酒精,1
 酵素,1
 防曬 ,2
 靈芝,1
 頭髮乾洗,1
 頭髮豐,1
 香水,1
 高路潔全效牙膏,1
 高露潔,2
 高露潔 $288 送贈品,1
 黑髮激活精華 升級版140ml,1
 鼻炎膠囊,1
!减肥,1
!必理痛 傷風感冒丸30粒裝,2
!白花油,1
"""Pampers"" ""紙尿片""",4
"""Pampers""+""紙尿片""",121
"""ichiban紙尿片""",2
"""級幫拉拉褲""",102
"""調色液""",1
#Colorstay持色染髮霜,2
#角質層修護凝露,2
$1 TENSTAR染髮梳套,2
$1瘋狂大激搶產品,1
$20電子現金券,2
$69送抹手紙,1
$70 換購,2
$80 電子現金卷,2
$888 送 睫毛捲曲器,1
$99 送,1
$99 送贈品 力士 清爽沐浴乳-薰衣馨舞,1
&#39;OREAL PARIS 花花浴巾2件套裝,1
&#39;人工淚&#39;,2
&HONEY 水感豐盈滋養護髮素,2
&HONEY 玫瑰,2
'.小米之冢綠生,1
'OREAL PARIS 花花浴巾2件套裝,1
'gatsby紙巾,1
'zenses 迷你紙手巾36's (moomin),1
'亞馬遜白泥淨緻毛孔面膜,1
'人工淚',1
'张口,1
'男士 沐浴,1
